Designator,Footprint,Quantity,Value,LCSC Part #
U12,TRRS-PJ-320A,1,TRRS,
H3,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
U16,TRRS-PJ-320A,1,TRRS,
U2,TRRS-PJ-320A,1,TRRS,
H6,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
H1,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
SW2,SW_SPDT_PCM12,1,SW_Push_SPDT,
U13,TRRS-PJ-320A,1,TRRS,
U10,TRRS-PJ-320A,1,TRRS,
J1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
U5,TRRS-PJ-320A,1,TRRS,
U7,TRRS-PJ-320A,1,TRRS,
H4,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
H5,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
H2,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
U9,TRRS-PJ-320A,1,TRRS,
H7,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
SW1,ResetSW,1,SW_Push,
U11,TRRS-PJ-320A,1,TRRS,
U4,TRRS-PJ-320A,1,TRRS,
U1,TRRS-PJ-320A,1,TRRS,
U6,TRRS-PJ-320A,1,TRRS,
H8,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
U3,TRRS-PJ-320A,1,TRRS,
U14,TRRS-PJ-320A,1,TRRS,
U8,TRRS-PJ-320A,1,TRRS,
U15,TRRS-PJ-320A,1,TRRS,
U17,ProMicro-NoSilk,1,ProMicro,
