Designator,Mid X,Mid Y,Rotation,Layer
U12,142.4825,-17.9,0.0,top
U16,104.9825,-49.1,180.0,top
U2,52.4825,-17.9,0.0,top
SW2,149.5375,-33.53,90.0,top
U13,142.4825,-49.1,180.0,top
U10,117.4825,-17.9,0.0,top
J1,86.36,-25.43,180.0,top
U5,27.4825,-49.1,180.0,top
U7,52.4825,-49.1,180.0,top
U9,104.9825,-17.9,0.0,top
SW1,21.5,-33.6,-90.0,top
U11,129.9825,-17.9,0.0,top
U4,27.4825,-17.9,0.0,top
U1,64.9825,-17.9,0.0,top
U6,39.9825,-49.1,180.0,top
U3,39.9825,-17.9,0.0,top
U14,129.9825,-49.1,180.0,top
U8,64.9825,-49.1,180.0,top
U15,117.4825,-49.1,180.0,top
U17,84.9825,-35.0,-90.0,bottom
